repo1,repo2,topics1,topics2,code_sim,doc_sim,requirement_sim,readme_sim,repo_sim
lepture/authlib,idan/oauthlib,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",0.9444684386253357,0.9460179209709167,0.5386024117469788,0.8328255414962769,0.8452262282371521
idan/oauthlib,evonove/django-oauth-toolkit,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['django', 'oauth2', 'python']",0.9194531440734863,0.8506796360015869,0.6636683940887451,0.8614640235900879,0.8379743099212646
lepture/authlib,evonove/django-oauth-toolkit,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['django', 'oauth2', 'python']",0.8997315168380737,0.8330455422401428,0.65581214427948,0.7277747988700867,0.7986764311790466
Suor/funcy,przemyslawjanpietrzak/pyMonet,"['functional-programming', 'python', 'utilities']","['functional-programming', 'monads', 'python']",0.7379856705665588,0.6037900447845459,0.8241414427757263,0.7591339945793152,0.7050752639770508
billpmurphy/hask,pytoolz/toolz,[],[],0.7853402495384216,0.7063883543014526,0.0,0.5668125748634338,0.699137806892395
pytoolz/toolz,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",0.9079317450523376,0.6822621822357178,0.0,0.7149317264556885,0.6749319434165955
billpmurphy/hask,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",0.7311145067214966,0.6883209347724915,0.0,0.8470653295516968,0.6597768664360046
billpmurphy/hask,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",0.7417168021202087,0.6343778371810913,0.0,0.784350574016571,0.6188291907310486
pytoolz/toolz,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",0.7403796911239624,0.4914635419845581,0.0,0.4998778700828552,0.5192027688026428
lepture/authlib,selwin/python-user-agents,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['browser-detection', 'python', 'user-agent-detection']",0.3021269142627716,0.0,0.4467536509037018,0.32509875297546387,0.28612130880355835
idan/oauthlib,selwin/python-user-agents,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['browser-detection', 'python', 'user-agent-detection']",0.3002852201461792,0.0,0.39521610736846924,0.30690744519233704,0.27812260389328003
evonove/django-oauth-toolkit,SmileyChris/django-countries,"['django', 'oauth2', 'python']","['country-codes', 'django', 'python']",0.35285115242004395,0.12713806331157684,0.0,0.40442517399787903,0.2647959887981415
evonove/django-oauth-toolkit,selwin/python-user-agents,"['django', 'oauth2', 'python']","['browser-detection', 'python', 'user-agent-detection']",0.2712061405181885,0.0,0.43442103266716003,0.3153022527694702,0.2644009292125702
SmileyChris/django-countries,django-compressor/django-compressor,"['country-codes', 'django', 'python']",[],0.30007869005203247,0.20105373859405518,0.0,0.2879195213317871,0.2615952491760254
selwin/python-user-agents,Suor/funcy,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'python', 'utilities']",0.16945406794548035,0.0,0.5218387246131897,0.19471050798892975,0.23669975996017456
evonove/django-oauth-toolkit,django-compressor/django-compressor,"['django', 'oauth2', 'python']",[],0.20613351464271545,0.12973715364933014,0.0,0.42363032698631287,0.21853962540626526
SmileyChris/django-countries,pytoolz/toolz,"['country-codes', 'django', 'python']",[],0.31134477257728577,0.060674842447042465,0.0,0.24460898339748383,0.2114834487438202
SmileyChris/django-countries,przemyslawjanpietrzak/pyMonet,"['country-codes', 'django', 'python']","['functional-programming', 'monads', 'python']",0.37272101640701294,0.06447620689868927,0.0,0.3301220238208771,0.21029269695281982
django-compressor/django-compressor,pytoolz/toolz,[],[],0.16697025299072266,0.06917541474103928,0.0,0.36760926246643066,0.20680926740169525
SmileyChris/django-countries,Suor/funcy,"['country-codes', 'django', 'python']","['functional-programming', 'python', 'utilities']",0.3378036916255951,0.014452432282269001,0.0,0.34138646721839905,0.19137915968894958
selwin/python-user-agents,przemyslawjanpietrzak/pyMonet,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'monads', 'python']",0.2169552594423294,0.0,0.44432228803634644,0.09966924786567688,0.18980072438716888
selwin/python-user-agents,SmileyChris/django-countries,"['browser-detection', 'python', 'user-agent-detection']","['country-codes', 'django', 'python']",0.3084786832332611,0.0,0.0,0.22090405225753784,0.188674658536911
lepture/authlib,SmileyChris/django-countries,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['country-codes', 'django', 'python']",0.2738860845565796,0.058571651577949524,0.0,0.2889956831932068,0.18694362044334412
